ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Fecha en que empieza el precio rebajado,Fecha en que termina el precio de oferta,Estado del impuesto,Clase de impuesto,¿En stock?,Stock,Cantidad de bajo stock,¿Permitir reservas de productos agotados?,Vendido Individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir reseñas de clientes?,Notas de la compra,Precio de oferta,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición
12151,simple,120000095,BOQUILLA CHICA N 53 PARPEN X1,1,0,visible,,<div><div>RIZADO CURVO</div></div>,,,taxable,,1,54,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-53-parpen-0120000095-1.jpg,,,,,,,,,0
12152,simple,120000096,BOQUILLA CHICA N 533 PARPEN X1,1,0,visible,,<div><div>HOJA</div></div>,,,taxable,,1,6,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-533-parpen-0120000096-1.jpg,,,,,,,,,0
12153,simple,120000097,BOQUILLA CHICA N 54 PARPEN X1,1,0,visible,,<div><div>BORDURA-VOLADO</div></div>,,,taxable,,1,37,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-54-parpen-0120000097-1.jpg,,,,,,,,,0
12154,simple,120000098,BOQUILLA CHICA N 55 PARPEN X1,1,0,visible,,<div><div>FORMA ESPECIAL</div></div>,,,taxable,,1,71,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-55-parpen-0120000098-1.jpg,,,,,,,,,0
12155,simple,120000099,BOQUILLA CHICA N 56 PARPEN X1,1,0,visible,,<div><div>HOJA</div></div>,,,taxable,,1,11,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-56-parpen-0120000099-1.jpg,,,,,,,,,0
12156,simple,120000100,BOQUILLA CHICA N 60 PARPEN X1,1,0,visible,,<div><div>REDONDO</div></div>,,,taxable,,1,85,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-60-parpen-0120000100-1.jpg,,,,,,,,,0
12157,simple,120000101,BOQUILLA CHICA N 601 PARPEN X1,1,0,visible,,"<div>\n<div>FLOR</div>\n</div>",,,taxable,,1,26,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/BOQUILLA-CHICA-N-601-PARPEN-X1-0120000101.png,,,,,,,,,0
12158,simple,120000102,BOQUILLA CHICA N 61 PARPEN X1,1,0,visible,,<div><div>RIZADO RECTO</div></div>,,,taxable,,1,27,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-61-parpen-0120000102-1.jpg,,,,,,,,,0
12159,simple,120000103,BOQUILLA CHICA N 62 PARPEN X1,1,0,visible,,<div><div>RIZADO CURVO</div></div>,,,taxable,,1,15,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-62-parpen-0120000103-1.jpg,,,,,,,,,0
12160,simple,120000104,BOQUILLA CHICA N 64 PARPEN X1,1,0,visible,,<div><div>FORMA ESPECIAL</div></div>,,,taxable,,1,11,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-64-parpen-0120000104-1.jpg,,,,,,,,,0
12161,simple,120000105,BOQUILLA CHICA N 65 PARPEN X1,1,0,visible,,<div><div>FORMA ESPECIAL</div></div>,,,taxable,,1,41,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-65-parpen-0120000105-1.jpg,,,,,,,,,0
12162,simple,120000106,BOQUILLA CHICA N 66 PARPEN X1,1,0,visible,,<div><div>HOJA</div></div>,,,taxable,,1,101,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-66-parpen-0120000106-1.jpg,,,,,,,,,0
12163,simple,120000107,BOQUILLA CHICA N 70 PARPEN X1,1,0,visible,,<div><div>REDONDO</div></div>,,,taxable,,1,49,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-70-parpen-0120000107-2.jpg,,,,,,,,,0
