ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Fecha en que empieza el precio rebajado,Fecha en que termina el precio de oferta,Estado del impuesto,Clase de impuesto,¿En stock?,Stock,Cantidad de bajo stock,¿Permitir reservas de productos agotados?,Vendido Individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir reseñas de clientes?,Notas de la compra,Precio de oferta,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición
3359,simple,117000270,PLACA MOLDEO COD A 618 PK,1,0,visible,,<div><div>BOMBONES</div></div>,,,taxable,,0,0,,0,0,,,,,1,,,"668,86",Reposteria > Placas De Moldeo,,,https://chocolatemisionero.com/wp-content/uploads/2022/08/placa-cod-a-618-pk-0117000270-1.jpg,,,,,,,,,0
3361,simple,117000269,PLACA MOLDEO COD A 617 PK,1,0,visible,,<div><div>CIRCULO CUADRICULADO</div></div>,,,taxable,,1,24,,0,0,,,,,1,,,"668,86",Reposteria > Placas De Moldeo,,,https://chocolatemisionero.com/wp-content/uploads/2022/08/placa-cod-a-617-pk-0117000269-1.jpg,,,,,,,,,0
6275,simple,119000001,AC COCO MCT SPRAY GOD B Y ,1,0,visible,,<div><div>X125ML</div></div>,,,taxable,,0,,,0,0,,,,,1,,,"19472,41",Reposteria > Saludables,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/ac-de-coco-mct-spray-godby-0119000001-1.jpg,,,,,,,,,0
6277,simple,119000002,AC COCO NEUTRO GOD B Y X125ML,1,0,visible,,<div><div></div></div>,,,taxable,,0,0,,0,0,,,,,1,,,"4708,16",Reposteria > Saludables,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/ac-de-coco-neutro-godby-0119000002-1.jpg,,,,,,,,,0
6279,simple,119000003,AC COCO NEUTRO GOD B Y X1L,1,0,visible,,<div><div></div></div>,,,taxable,,0,0,,0,0,,,,,1,,,"22624,7",Reposteria > Saludables,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/ac-de-coco-neutro-godby-0119000003-1.jpg,,,,,,,,,0
6281,simple,119000004,AC COCO NEUTRO GOD B Y X225ML,1,0,visible,,<div><div></div></div>,,,taxable,,0,0,,0,0,,,,,1,,,"7224,72",Reposteria > Saludables,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/ac-de-coco-neutro-godby-0119000004-1.jpg,,,,,,,,,0
6283,simple,119000005,AC COCO NEUTRO GOD B Y X500ML,1,0,visible,,<div><div></div></div>,,,taxable,,0,0,,0,0,,,,,1,,,"12473,14",Reposteria > Saludables,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/ac-de-coco-neutro-godby-0119000005-1.jpg,,,,,,,,,0
6285,simple,119000006,AC COCO VIRGEN GOD B Y X125ML,1,0,visible,,<div><div></div></div>,,,taxable,,0,0,,0,0,,,,,1,,,"7190,18",Reposteria > Saludables,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/ac-de-coco-virgen-godby-0119000006-1.jpg,,,,,,,,,0
6287,simple,119000007,AC COCO VIRGEN GOD B Y X1L,1,0,visible,,<div><div></div></div>,,,taxable,,1,25,,0,0,,,,,1,,,"37805,32",Reposteria > Saludables,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/ac-de-coco-virgen-godby-0119000007-1.jpg,,,,,,,,,0
6289,simple,119000008,AC COCO VIRGEN GOD B Y X225ML,1,0,visible,,<div><div></div></div>,,,taxable,,1,6,,0,0,,,,,1,,,"10972,15",Reposteria > Saludables,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/ac-de-coco-virgen-godby-0119000008-1.jpg,,,,,,,,,0
