Ensaladas,
19. Enslada Kingdom,"$3,700"
20. Enslaada Mixta,"$3,000"
21. Ensalada Rusa,"$3,400"
22. Ensalada Roja,"$3,400"
23. Enslaada Nory,"$3,000"
24. Ensalada Clásica,"$3,000"
,
Filetes Kingdom,
25. Filet De Carne ,"$8,600"
26. Filet De Pollo ,"$7,600"
27. Filet De Cerdo ,"$7,600"
28. Filet Mixto ,"$8,600"
29. Filet De Salmón ,"$19,500"
30. Filet De Surubí ,"$10,800"
,
Carnes,
31. Carne Con Champiñon Y Salsa De Ostras,"$8,600"
32. Carne Con Salsa Curry,"$7,700"
33. Carne Salteada Con Cebolla,"$7,700"
34. Carne Salteada Con Cebollita De Verdeo,"$7,700"
,
Pollo,
37. Pollo A La Plancha Con Papas Noiset,"$6,600"
38. Pollo Agridulce,"$5,700"
38. Pollo Agridulce,"$5,700"
39. Pollo Frito Sin Hueso,"$6,900"
40. Pollo Kong-Pao,"$6,200"
41. Pollo Revuelto Con Champiñon,"$7,800"
42. Pollo Revuelto Con Hongos Shitaque,"$8,100"
43. Pollo Gratinado Con Papas Naturales,"$7,300"
Pollo Salteado Con Cebolla,"$7,700"
Pollo Salteado Con Cebollita De Verdeo,"$7,700"
,
Cerdo,
44. Cerdo Agridulce,"$5,700"
45. Cerdo Frito,"$6,900"
46. Cerdo Salteado Con Cebolla,"$6,900"
47. Cerdo Salteado Con Cebollita,"$6,900"
48. Cerdo Salteado Con Hongos Y Champiñon,"$7,700"
,
Mariscos,
,
50. Salmón A La Plancha Con Papas Noiset,"$18,300"
51. Salmón Al Escalope,"$19,600"
52. Filet De Dorado,"$10,800"
53. Dorado A La Plancha Con Papas Noiset,"$9,900"
54. Merluza Frita,"$7,700"
55. Merluza Al Escalope (Con Salsa De Tomate),"$9,200"
56. Marisco Mixto,"$12,500"
57. Camarón Y Calamar Con Verduras,"$12,000"
58. Camarón Kong-Pao,"$11,100"
59. Langostino Pelado Con Ajo Salteado Mediano,"$14,400"
59. Langostino Pelado Con Ajo Salteado Grande,"$20,900"
60. Langostino Pelado Con Salsa Agridulce Mediano,"$14,400"
60. Langostino Pelado Con Salsa Agridulce Grande,"$20,900"
61. Calamar Salteado Con Ajo,"$13,600"
62. Calamar Agridulce Revuelto,"$9,100"
,
Arroz,
63. Arroz Frito Mixto,"$4,600"
64. Arroz Frito Con Camarones ,"$8,200"
65. Arroz Frito Con Mariscos,"$8,200"
66. Arroz Frito Con Kanikama,"$7,200"
67. Arroz Frito Con Salmón,"$13,300"
68. Arroz Blanco,"$2,700"
,
Fideos,
69. Fideo Con Manteca,
70. Fideo Salteado Con Carne,"$4,900"
71. Fideo Salteado Con Pollo,"$4,900"
72. Fideo Salteado Con Cerdo,"$4,900"
73. Fideo Salteado Mixto,"$5,700"
74. Fideo Salteado Mixto Xon Camarones,"$9,000"
75. Fideo Salteado Mixto Con Mariscos,"$9,000"
,
Bifun,
76. Bifun Salteado Con Carne,"$6,400"
77. Bifun Salteado Con Pollo,"$6,400"
78. Bifun Salteado Con Cerdo,"$6,400"
79. Bifun Salteado Mixto,"$7,200"
80. Bifun Salteado Con Camarones,"$10,800"
81. Bifun Salteado Con Mariscos,"$10,800"
,
Tofu,
82. Tofu Salteado Mixto,"$6,200"
83. Tofu Salteado Mixto Con Camarones,"$9,400"
84. Tofu Salteado Mixtocon Mariscos,"$9,400"
85. Tofu Salteado Picante,"$6,900"
,
Verduras,
86. Chop Suey Salteado Con Carne,"$4,300"
87. Chop Suey Salteado Con Pollo,"$4,300"
88. Chop Suey Salteado Con Cerdo,"$4,300"
88. Chop Suey Salteado Mixto,"$5,100"
90. Chop Suey Salteado Con Camarones,"$8,200"
91. Chop Suey Salteado Con Mariscos,"$8,200"
,
Milanesas,
92. Milanesa De Carne,"$5,100"
93. Milanesa De Pollo,"$5,100"
95. Milanesa De Carne/Pollo A La Napolitana,"$7,000"
96. Chuleta De Vaca A La Plancha,"$6,900"
97. Chuleta De Cerdo A La Plancha,"$6,900"
,
Omelettes,
98. Omelette De Jamón Y Queso,"$5,100"
99. Omelette Con Camarones,"$8,500"
100. Omelette Con Cebollita De Verdeo,"$3,900"
101. Omelette Con Tomate Y Queso,"$4,500"
102. Omelette Con Kanikama,"$7,600"
103. Huevo Salteado Con Tomates,"$4,500"
104. Tarta De Huevo Al Vapor,"$6,100"
,
Menú Infantil,
106. Happy Burguer,"$5,700"
107. Salchipapas,"$4,900"
108. Patty Fritas,"$5,700"
109. Milanesa Tricolor,"$4,900"
,
Ramen,
60. Langostino Pelado Con Salsa Agridulce Carne,"$8,500"
60. Langostino Pelado Con Salsa Agridulce Pollo,"$8,500"
60. Langostino Pelado Con Salsa Agridulce Cerdo,"$8,500"
60. Langostino Pelado Con Salsa Agridulce Vegetariano,"$8,500"
119. Ramen Sopa Mariscos ,"$11,100"
119. Ramen Sopa Camarones,"$11,100"
120. Ramen Salteado Carne,"$8,500"
120. Ramen Salteado Pollo,"$8,500"
120. Ramen Salteado Cerdo,"$8,500"
120. Ramen Salteado Vegetariano ,"$8,500"
121. Ramen Salteado Mariscos ,"$11,100"
121. Ramen Salteado Camarones,"$11,100"
,
,
Manu Vegetariano,
Entradas,
122. Rollitos Primavera De Verdura,"$3,000"
123. Papas Fritas Tradicionales,"$3,700"
124. Papas Noiset,"$4,500"
125. Queso De Soja Crocante,"$3,600"
126. Empanaditas Hervidas,"$3,300"
127. Empanaditas A La Plancha,"$3,700"
128. Pure De Papas,"$2,400"
129. Baochi Pan Al Vapor De Verduras,"$2,500"
,
Sopas,
130. Sopa De Choclo Vegetariana,"$4,200"
131. Sopa Agripicante Vegetariana,"$4,200"
132. Sopa De Algas Con Huevo Y Tofu,"$4,900"
134. Sopa Tun-Fu,"$5,500"
,
Platos Principales,
135. Fideo Revuelto Mixto Vegetariano ,"$5,700"
136. Bifun Salteado Mixto Vegetariano ,"$6,400"
137. Arroz Frito Mixto Vegetariano ,"$4,600"
138. Arroz Con Salsa Curry ,"$5,700"
139. Queso De Soja Revuelto (Hongos Chinos Y Carne Vegetales),"$7,800"
140. Queso De Soja A La Plancha (Con Salsa Sate),"$6,100"
141. Chop Suey  Vegetariano ,"$5,100"
143. Verduras Revueltas ,"$3,700"
144. Carne De Soja Agridulce ,"$5,700"
145. Omelette De Jamón De Soja,"$5,100"
146. Omelette De Papa Natural ,"$4,500"
"147. Hongo, Champiñon Y Bambú Salteados ","$6,600"
148. Filet Kingdom Vegetariano ,"$8,500"
149. Acusay Revuelto Con Tun-Fun ,"$5,700"
151. Buñuelos Agridulce Con Semillas De Sésamo ,"$6,100"
152. Panache De Verduras ,"$5,700"
